pair,subject,window_ms,accuracy,n_test
HOC/EFE,1,800,64.44444444444444,90
HOC/EFE,1,1500,55.55555555555556,90
HOC/EFE,1,3000,61.111111111111114,90
HOC/EFE,1,4000,62.22222222222222,90
HOC/EFE,2,800,70.0,80
HOC/EFE,2,1500,68.75,80
HOC/EFE,2,3000,62.5,80
HOC/EFE,2,4000,62.5,80
HOC/EFE,3,800,57.49999999999999,80
HOC/EFE,3,1500,63.74999999999999,80
HOC/EFE,3,3000,77.5,80
HOC/EFE,3,4000,81.25,80
HOC/EFE,4,800,82.5,80
HOC/EFE,4,1500,87.5,80
HOC/EFE,4,3000,83.75,80
HOC/EFE,4,4000,80.0,80
HOC/EFE,5,800,76.25,80
HOC/EFE,5,1500,60.0,80
HOC/EFE,5,3000,66.25,80
HOC/EFE,5,4000,58.75,80
HOC/EFE,6,800,62.5,80
HOC/EFE,6,1500,77.5,80
HOC/EFE,6,3000,70.0,80
HOC/EFE,6,4000,60.0,80
HOC/EFE,7,800,71.25,80
HOC/EFE,7,1500,68.75,80
HOC/EFE,7,3000,67.5,80
HOC/EFE,7,4000,75.0,80
HOC/EFE,8,800,46.25,80
HOC/EFE,8,1500,47.5,80
HOC/EFE,8,3000,56.25,80
HOC/EFE,8,4000,52.5,80
HOC/EFE,9,800,60.0,80
HOC/EFE,9,1500,61.25000000000001,80
HOC/EFE,9,3000,65.0,80
HOC/EFE,9,4000,61.25000000000001,80
HOC/EFE,10,800,68.75,80
HOC/EFE,10,1500,65.0,80
HOC/EFE,10,3000,48.75,80
HOC/EFE,10,4000,53.75,80
HOC/EFE,11,800,56.25,80
HOC/EFE,11,1500,56.25,80
HOC/EFE,11,3000,58.75,80
HOC/EFE,11,4000,56.25,80
HOC/EFE,12,800,53.75,80
HOC/EFE,12,1500,56.25,80
HOC/EFE,12,3000,53.75,80
HOC/EFE,12,4000,62.5,80
HOC/EFE,13,800,68.75,80
HOC/EFE,13,1500,75.0,80
HOC/EFE,13,3000,65.0,80
HOC/EFE,13,4000,66.25,80
HOC/EFE,14,800,61.25000000000001,80
HOC/EFE,14,1500,55.00000000000001,80
HOC/EFE,14,3000,76.25,80
HOC/EFE,14,4000,72.5,80
HOC/EFE,15,800,77.5,80
HOC/EFE,15,1500,73.75,80
HOC/EFE,15,3000,76.25,80
HOC/EFE,15,4000,70.0,80
HOC/EFE,16,800,68.75,80
HOC/EFE,16,1500,76.25,80
HOC/EFE,16,3000,60.0,80
HOC/EFE,16,4000,65.0,80
HOC/EFE,17,800,56.25,80
HOC/EFE,17,1500,62.5,80
HOC/EFE,17,3000,46.25,80
HOC/EFE,17,4000,63.74999999999999,80
HOC/EFE,18,800,56.25,80
HOC/EFE,18,1500,76.25,80
HOC/EFE,18,3000,86.25,80
HOC/EFE,18,4000,88.75,80
