pair,subject,window_ms,accuracy,n_test
HOC/SFE,1,800,57.77777777777777,90
HOC/SFE,1,1500,66.66666666666666,90
HOC/SFE,1,3000,62.22222222222222,90
HOC/SFE,1,4000,66.66666666666666,90
HOC/SFE,2,800,53.75,80
HOC/SFE,2,1500,57.49999999999999,80
HOC/SFE,2,3000,62.5,80
HOC/SFE,2,4000,62.5,80
HOC/SFE,3,800,85.0,80
HOC/SFE,3,1500,81.25,80
HOC/SFE,3,3000,82.5,80
HOC/SFE,3,4000,86.25,80
HOC/SFE,4,800,73.75,80
HOC/SFE,4,1500,83.75,80
HOC/SFE,4,3000,82.5,80
HOC/SFE,4,4000,80.0,80
HOC/SFE,5,800,76.5432098765432,81
HOC/SFE,5,1500,75.30864197530865,81
HOC/SFE,5,3000,86.41975308641975,81
HOC/SFE,5,4000,83.9506172839506,81
HOC/SFE,6,800,63.74999999999999,80
HOC/SFE,6,1500,68.75,80
HOC/SFE,6,3000,66.25,80
HOC/SFE,6,4000,60.0,80
HOC/SFE,7,800,72.5,80
HOC/SFE,7,1500,77.5,80
HOC/SFE,7,3000,77.5,80
HOC/SFE,7,4000,76.25,80
HOC/SFE,8,800,56.25,80
HOC/SFE,8,1500,47.5,80
HOC/SFE,8,3000,48.75,80
HOC/SFE,8,4000,47.5,80
HOC/SFE,9,800,61.25000000000001,80
HOC/SFE,9,1500,61.25000000000001,80
HOC/SFE,9,3000,55.00000000000001,80
HOC/SFE,9,4000,62.5,80
HOC/SFE,10,800,78.75,80
HOC/SFE,10,1500,73.75,80
HOC/SFE,10,3000,72.5,80
HOC/SFE,10,4000,75.0,80
HOC/SFE,11,800,55.00000000000001,80
HOC/SFE,11,1500,60.0,80
HOC/SFE,11,3000,71.25,80
HOC/SFE,11,4000,77.5,80
HOC/SFE,12,800,52.5,80
HOC/SFE,12,1500,58.75,80
HOC/SFE,12,3000,65.0,80
HOC/SFE,12,4000,76.25,80
HOC/SFE,13,800,73.75,80
HOC/SFE,13,1500,82.5,80
HOC/SFE,13,3000,76.25,80
HOC/SFE,13,4000,68.75,80
HOC/SFE,14,800,76.25,80
HOC/SFE,14,1500,71.25,80
HOC/SFE,14,3000,75.0,80
HOC/SFE,14,4000,67.5,80
HOC/SFE,15,800,80.0,80
HOC/SFE,15,1500,78.75,80
HOC/SFE,15,3000,83.75,80
HOC/SFE,15,4000,85.0,80
HOC/SFE,16,800,68.75,80
HOC/SFE,16,1500,60.0,80
HOC/SFE,16,3000,61.25000000000001,80
HOC/SFE,16,4000,61.25000000000001,80
HOC/SFE,17,800,58.75,80
HOC/SFE,17,1500,67.5,80
HOC/SFE,17,3000,70.0,80
HOC/SFE,17,4000,65.0,80
HOC/SFE,18,800,82.5,80
HOC/SFE,18,1500,83.75,80
HOC/SFE,18,3000,82.5,80
HOC/SFE,18,4000,85.0,80
