pair,mode,subject,window_ms,fold,accuracy,val_accuracy,n_test
WFE/SPS,cwt,1,4000,1,72.22222222222223,72.22222222222223,18
WFE/SPS,cwt,1,4000,2,72.22222222222223,88.88888888888889,18
WFE/SPS,cwt,1,4000,3,61.111111111111114,83.33333333333333,18
WFE/SPS,cwt,1,4000,4,66.66666666666667,72.22222222222223,18
WFE/SPS,cwt,1,4000,5,77.77777777777777,77.77777777777777,18
WFE/SPS,cwt,2,4000,1,62.5,62.5,16
WFE/SPS,cwt,2,4000,2,56.25,56.25,16
WFE/SPS,cwt,2,4000,3,43.75,56.25,16
WFE/SPS,cwt,2,4000,4,31.25,50.0,16
WFE/SPS,cwt,2,4000,5,50.0,62.5,16
WFE/SPS,cwt,3,4000,1,56.25,93.75,16
WFE/SPS,cwt,3,4000,2,68.75,81.25,16
WFE/SPS,cwt,3,4000,3,75.0,81.25,16
WFE/SPS,cwt,3,4000,4,62.5,81.25,16
WFE/SPS,cwt,3,4000,5,81.25,62.5,16
WFE/SPS,cwt,4,4000,1,81.25,87.5,16
WFE/SPS,cwt,4,4000,2,81.25,81.25,16
WFE/SPS,cwt,4,4000,3,75.0,100.0,16
WFE/SPS,cwt,4,4000,4,87.5,75.0,16
WFE/SPS,cwt,4,4000,5,75.0,75.0,16
WFE/SPS,cwt,5,4000,1,68.75,62.5,16
WFE/SPS,cwt,5,4000,2,43.75,68.75,16
WFE/SPS,cwt,5,4000,3,62.5,81.25,16
WFE/SPS,cwt,5,4000,4,68.75,68.75,16
WFE/SPS,cwt,5,4000,5,56.25,87.5,16
WFE/SPS,cwt,6,4000,1,62.5,62.5,16
WFE/SPS,cwt,6,4000,2,56.25,75.0,16
WFE/SPS,cwt,6,4000,3,62.5,56.25,16
WFE/SPS,cwt,6,4000,4,56.25,68.75,16
WFE/SPS,cwt,6,4000,5,56.25,62.5,16
WFE/SPS,cwt,7,4000,1,50.0,68.75,16
WFE/SPS,cwt,7,4000,2,68.75,68.75,16
WFE/SPS,cwt,7,4000,3,62.5,56.25,16
WFE/SPS,cwt,7,4000,4,68.75,56.25,16
WFE/SPS,cwt,7,4000,5,75.0,68.75,16
WFE/SPS,cwt,8,4000,1,56.25,62.5,16
WFE/SPS,cwt,8,4000,2,62.5,56.25,16
WFE/SPS,cwt,8,4000,3,50.0,56.25,16
WFE/SPS,cwt,8,4000,4,43.75,81.25,16
WFE/SPS,cwt,8,4000,5,68.75,43.75,16
WFE/SPS,cwt,9,4000,1,75.0,81.25,16
WFE/SPS,cwt,9,4000,2,68.75,56.25,16
WFE/SPS,cwt,9,4000,3,62.5,62.5,16
WFE/SPS,cwt,9,4000,4,62.5,56.25,16
WFE/SPS,cwt,9,4000,5,50.0,81.25,16
WFE/SPS,cwt,10,4000,1,56.25,62.5,16
WFE/SPS,cwt,10,4000,2,56.25,75.0,16
WFE/SPS,cwt,10,4000,3,75.0,75.0,16
WFE/SPS,cwt,10,4000,4,50.0,81.25,16
WFE/SPS,cwt,10,4000,5,75.0,68.75,16
WFE/SPS,cwt,11,4000,1,68.75,50.0,16
WFE/SPS,cwt,11,4000,2,37.5,62.5,16
WFE/SPS,cwt,11,4000,3,62.5,75.0,16
WFE/SPS,cwt,11,4000,4,37.5,50.0,16
WFE/SPS,cwt,11,4000,5,50.0,68.75,16
WFE/SPS,cwt,12,4000,1,68.75,75.0,16
WFE/SPS,cwt,12,4000,2,62.5,62.5,16
WFE/SPS,cwt,12,4000,3,68.75,68.75,16
WFE/SPS,cwt,12,4000,4,68.75,62.5,16
WFE/SPS,cwt,12,4000,5,56.25,87.5,16
WFE/SPS,cwt,13,4000,1,62.5,56.25,16
WFE/SPS,cwt,13,4000,2,56.25,68.75,16
WFE/SPS,cwt,13,4000,3,56.25,68.75,16
WFE/SPS,cwt,13,4000,4,56.25,56.25,16
WFE/SPS,cwt,13,4000,5,56.25,75.0,16
WFE/SPS,cwt,14,4000,1,75.0,62.5,16
WFE/SPS,cwt,14,4000,2,43.75,62.5,16
WFE/SPS,cwt,14,4000,3,50.0,56.25,16
WFE/SPS,cwt,14,4000,4,68.75,56.25,16
WFE/SPS,cwt,14,4000,5,56.25,56.25,16
WFE/SPS,cwt,15,4000,1,50.0,62.5,16
WFE/SPS,cwt,15,4000,2,50.0,56.25,16
WFE/SPS,cwt,15,4000,3,56.25,81.25,16
WFE/SPS,cwt,15,4000,4,62.5,68.75,16
WFE/SPS,cwt,15,4000,5,50.0,75.0,16
WFE/SPS,cwt,16,4000,1,50.0,62.5,16
WFE/SPS,cwt,16,4000,2,75.0,62.5,16
WFE/SPS,cwt,16,4000,3,62.5,75.0,16
WFE/SPS,cwt,16,4000,4,75.0,68.75,16
WFE/SPS,cwt,16,4000,5,50.0,75.0,16
WFE/SPS,cwt,17,4000,1,50.0,50.0,16
WFE/SPS,cwt,17,4000,2,62.5,62.5,16
WFE/SPS,cwt,17,4000,3,43.75,75.0,16
WFE/SPS,cwt,17,4000,4,43.75,87.5,16
WFE/SPS,cwt,17,4000,5,56.25,68.75,16
WFE/SPS,cwt,18,4000,1,68.75,68.75,16
WFE/SPS,cwt,18,4000,2,87.5,75.0,16
WFE/SPS,cwt,18,4000,3,68.75,68.75,16
WFE/SPS,cwt,18,4000,4,62.5,81.25,16
WFE/SPS,cwt,18,4000,5,68.75,68.75,16
