pair,subject,window_ms,accuracy,n_test
WFE/EFE,1,800,52.22222222222223,90
WFE/EFE,1,1500,56.666666666666664,90
WFE/EFE,1,3000,57.77777777777777,90
WFE/EFE,1,4000,57.77777777777777,90
WFE/EFE,2,800,52.5,80
WFE/EFE,2,1500,65.0,80
WFE/EFE,2,3000,71.25,80
WFE/EFE,2,4000,68.75,80
WFE/EFE,3,800,76.25,80
WFE/EFE,3,1500,78.75,80
WFE/EFE,3,3000,80.0,80
WFE/EFE,3,4000,80.0,80
WFE/EFE,4,800,66.25,80
WFE/EFE,4,1500,70.0,80
WFE/EFE,4,3000,77.5,80
WFE/EFE,4,4000,81.25,80
WFE/EFE,5,800,56.25,80
WFE/EFE,5,1500,63.74999999999999,80
WFE/EFE,5,3000,57.49999999999999,80
WFE/EFE,5,4000,65.0,80
WFE/EFE,6,800,51.24999999999999,80
WFE/EFE,6,1500,66.25,80
WFE/EFE,6,3000,57.49999999999999,80
WFE/EFE,6,4000,68.75,80
WFE/EFE,7,800,76.25,80
WFE/EFE,7,1500,62.5,80
WFE/EFE,7,3000,73.75,80
WFE/EFE,7,4000,72.5,80
WFE/EFE,8,800,58.75,80
WFE/EFE,8,1500,53.75,80
WFE/EFE,8,3000,56.25,80
WFE/EFE,8,4000,56.25,80
WFE/EFE,9,800,61.25000000000001,80
WFE/EFE,9,1500,52.5,80
WFE/EFE,9,3000,45.0,80
WFE/EFE,9,4000,50.0,80
WFE/EFE,10,800,58.75,80
WFE/EFE,10,1500,57.49999999999999,80
WFE/EFE,10,3000,53.75,80
WFE/EFE,10,4000,51.24999999999999,80
WFE/EFE,11,800,57.49999999999999,80
WFE/EFE,11,1500,56.25,80
WFE/EFE,11,3000,66.25,80
WFE/EFE,11,4000,55.00000000000001,80
WFE/EFE,12,800,60.0,80
WFE/EFE,12,1500,55.00000000000001,80
WFE/EFE,12,3000,51.24999999999999,80
WFE/EFE,12,4000,58.75,80
WFE/EFE,13,800,60.0,80
WFE/EFE,13,1500,70.0,80
WFE/EFE,13,3000,66.25,80
WFE/EFE,13,4000,63.74999999999999,80
WFE/EFE,14,800,65.0,80
WFE/EFE,14,1500,51.24999999999999,80
WFE/EFE,14,3000,65.0,80
WFE/EFE,14,4000,63.74999999999999,80
WFE/EFE,15,800,62.5,80
WFE/EFE,15,1500,57.49999999999999,80
WFE/EFE,15,3000,56.25,80
WFE/EFE,15,4000,58.75,80
WFE/EFE,16,800,55.00000000000001,80
WFE/EFE,16,1500,51.24999999999999,80
WFE/EFE,16,3000,50.0,80
WFE/EFE,16,4000,47.5,80
WFE/EFE,17,800,62.5,80
WFE/EFE,17,1500,60.0,80
WFE/EFE,17,3000,58.75,80
WFE/EFE,17,4000,67.5,80
WFE/EFE,18,800,75.0,80
WFE/EFE,18,1500,71.25,80
WFE/EFE,18,3000,77.5,80
WFE/EFE,18,4000,78.75,80
