pair,subject,window_ms,accuracy,n_test
EFE/SFE,1,800,60.0,90
EFE/SFE,1,1500,70.0,90
EFE/SFE,1,3000,70.0,90
EFE/SFE,1,4000,68.88888888888889,90
EFE/SFE,2,800,62.5,80
EFE/SFE,2,1500,70.0,80
EFE/SFE,2,3000,70.0,80
EFE/SFE,2,4000,73.75,80
EFE/SFE,3,800,86.25,80
EFE/SFE,3,1500,88.75,80
EFE/SFE,3,3000,91.25,80
EFE/SFE,3,4000,83.75,80
EFE/SFE,4,800,80.0,80
EFE/SFE,4,1500,90.0,80
EFE/SFE,4,3000,82.5,80
EFE/SFE,4,4000,87.5,80
EFE/SFE,5,800,65.4320987654321,81
EFE/SFE,5,1500,76.5432098765432,81
EFE/SFE,5,3000,81.48148148148148,81
EFE/SFE,5,4000,90.12345679012346,81
EFE/SFE,6,800,55.00000000000001,80
EFE/SFE,6,1500,63.74999999999999,80
EFE/SFE,6,3000,67.5,80
EFE/SFE,6,4000,72.5,80
EFE/SFE,7,800,73.75,80
EFE/SFE,7,1500,80.0,80
EFE/SFE,7,3000,77.5,80
EFE/SFE,7,4000,80.0,80
EFE/SFE,8,800,46.25,80
EFE/SFE,8,1500,47.5,80
EFE/SFE,8,3000,45.0,80
EFE/SFE,8,4000,47.5,80
EFE/SFE,9,800,57.49999999999999,80
EFE/SFE,9,1500,60.0,80
EFE/SFE,9,3000,67.5,80
EFE/SFE,9,4000,61.25000000000001,80
EFE/SFE,10,800,76.25,80
EFE/SFE,10,1500,77.5,80
EFE/SFE,10,3000,77.5,80
EFE/SFE,10,4000,77.5,80
EFE/SFE,11,800,60.0,80
EFE/SFE,11,1500,50.0,80
EFE/SFE,11,3000,63.74999999999999,80
EFE/SFE,11,4000,78.75,80
EFE/SFE,12,800,55.00000000000001,80
EFE/SFE,12,1500,52.5,80
EFE/SFE,12,3000,68.75,80
EFE/SFE,12,4000,57.49999999999999,80
EFE/SFE,13,800,67.5,80
EFE/SFE,13,1500,77.5,80
EFE/SFE,13,3000,67.5,80
EFE/SFE,13,4000,61.25000000000001,80
EFE/SFE,14,800,62.5,80
EFE/SFE,14,1500,62.5,80
EFE/SFE,14,3000,67.5,80
EFE/SFE,14,4000,68.75,80
EFE/SFE,15,800,62.5,80
EFE/SFE,15,1500,56.25,80
EFE/SFE,15,3000,60.0,80
EFE/SFE,15,4000,55.00000000000001,80
EFE/SFE,16,800,50.0,80
EFE/SFE,16,1500,51.24999999999999,80
EFE/SFE,16,3000,60.0,80
EFE/SFE,16,4000,60.0,80
EFE/SFE,17,800,65.0,80
EFE/SFE,17,1500,70.0,80
EFE/SFE,17,3000,60.0,80
EFE/SFE,17,4000,76.25,80
EFE/SFE,18,800,85.0,80
EFE/SFE,18,1500,75.0,80
EFE/SFE,18,3000,90.0,80
EFE/SFE,18,4000,91.25,80
