pair,subject,window_ms,accuracy,n_test
WFE/WAA,1,800,63.33333333333333,90
WFE/WAA,1,1500,64.44444444444444,90
WFE/WAA,1,3000,71.11111111111111,90
WFE/WAA,1,4000,70.0,90
WFE/WAA,2,800,68.75,80
WFE/WAA,2,1500,61.25000000000001,80
WFE/WAA,2,3000,65.0,80
WFE/WAA,2,4000,58.75,80
WFE/WAA,3,800,55.00000000000001,80
WFE/WAA,3,1500,68.75,80
WFE/WAA,3,3000,67.5,80
WFE/WAA,3,4000,67.5,80
WFE/WAA,4,800,77.5,80
WFE/WAA,4,1500,85.0,80
WFE/WAA,4,3000,75.0,80
WFE/WAA,4,4000,65.0,80
WFE/WAA,5,800,56.25,80
WFE/WAA,5,1500,61.25000000000001,80
WFE/WAA,5,3000,65.0,80
WFE/WAA,5,4000,56.25,80
WFE/WAA,6,800,57.49999999999999,80
WFE/WAA,6,1500,53.75,80
WFE/WAA,6,3000,66.25,80
WFE/WAA,6,4000,63.74999999999999,80
WFE/WAA,7,800,58.75,80
WFE/WAA,7,1500,68.75,80
WFE/WAA,7,3000,52.5,80
WFE/WAA,7,4000,58.75,80
WFE/WAA,8,800,56.25,80
WFE/WAA,8,1500,50.0,80
WFE/WAA,8,3000,48.75,80
WFE/WAA,8,4000,56.25,80
WFE/WAA,9,800,53.75,80
WFE/WAA,9,1500,62.5,80
WFE/WAA,9,3000,66.25,80
WFE/WAA,9,4000,67.5,80
WFE/WAA,10,800,56.25,80
WFE/WAA,10,1500,56.25,80
WFE/WAA,10,3000,65.0,80
WFE/WAA,10,4000,56.25,80
WFE/WAA,11,800,47.5,80
WFE/WAA,11,1500,70.0,80
WFE/WAA,11,3000,66.25,80
WFE/WAA,11,4000,67.5,80
WFE/WAA,12,800,47.5,80
WFE/WAA,12,1500,60.0,80
WFE/WAA,12,3000,63.74999999999999,80
WFE/WAA,12,4000,66.25,80
WFE/WAA,13,800,57.49999999999999,80
WFE/WAA,13,1500,65.0,80
WFE/WAA,13,3000,50.0,80
WFE/WAA,13,4000,61.25000000000001,80
WFE/WAA,14,800,60.0,80
WFE/WAA,14,1500,60.0,80
WFE/WAA,14,3000,53.75,80
WFE/WAA,14,4000,62.5,80
WFE/WAA,15,800,77.5,80
WFE/WAA,15,1500,75.0,80
WFE/WAA,15,3000,77.5,80
WFE/WAA,15,4000,73.75,80
WFE/WAA,16,800,68.75,80
WFE/WAA,16,1500,61.25000000000001,80
WFE/WAA,16,3000,53.75,80
WFE/WAA,16,4000,50.0,80
WFE/WAA,17,800,51.24999999999999,80
WFE/WAA,17,1500,72.5,80
WFE/WAA,17,3000,56.25,80
WFE/WAA,17,4000,60.0,80
WFE/WAA,18,800,60.0,80
WFE/WAA,18,1500,53.75,80
WFE/WAA,18,3000,73.75,80
WFE/WAA,18,4000,75.0,80
