pair,mode,subject,window_ms,accuracy,n_test
HOC/EFE,cwt,1,4000,72.22222222222221,90
HOC/EFE,cwt,2,4000,53.75,80
HOC/EFE,cwt,3,4000,56.25,80
HOC/EFE,cwt,4,4000,76.25,80
HOC/EFE,cwt,5,4000,60.0,80
HOC/EFE,cwt,6,4000,53.75,80
HOC/EFE,cwt,7,4000,66.25,80
HOC/EFE,cwt,8,4000,53.75,80
HOC/EFE,cwt,9,4000,62.5,80
HOC/EFE,cwt,10,4000,68.75,80
HOC/EFE,cwt,11,4000,51.24999999999999,80
HOC/EFE,cwt,12,4000,50.0,80
HOC/EFE,cwt,13,4000,48.75,80
HOC/EFE,cwt,14,4000,61.25000000000001,80
HOC/EFE,cwt,15,4000,53.75,80
HOC/EFE,cwt,16,4000,60.0,80
HOC/EFE,cwt,17,4000,61.25000000000001,80
HOC/EFE,cwt,18,4000,67.5,80
